n_memories,strategy,query_count,context_tokens_avg,context_tokens_p50,context_tokens_p95,context_tokens_p99,token_reduction_vs_full_raw_avg_pct,latency_ms_p50,latency_ms_p95,latency_ms_p99,memory_footprint_bytes_avg,memory_footprint_bytes_p95,memory_footprint_bytes_p99,exact_memory_hit_rate,topic_hit_rate,answer_contains_expected_rate,forbidden_memory_leak_rate_avg,sensitive_memory_leak_rate_avg,traceability_rate
1000,A_FULL_RAW_CONTEXT,100,144428,144428.0,144428.0,144428.0,0.0,0.0995,0.239265,0.441957,577710,577710.0,577710.0,1.0,1.0,1.0,0.00275,0.225,0.0
1000,B_TOPK_RAW_CHUNKS,100,196.32,196.0,232.0,232.0,99.8641,0.04045,0.15599,0.358171,783.57,926.0,926.0,0.05,1.0,0.85,0.0,0.088,0.0
1000,C_SUMMARY_MEMORY,100,681.93,673.0,754.0,754.0,99.5278,0.0929,0.188515,0.394771,2726.31,3013.0,3013.0,0.2,1.0,0.86,0.013,0.0995,0.0
1000,D_POINTER_METADATA_ONLY,100,1839.71,1835.0,1946.0,1946.0,98.7262,0.16545,0.306945,0.689659,7357.43,7781.0,7781.0,0.2,1.0,0.86,0.013,0.0995,1.0
1000,E_POINTER_ON_DEMAND_RESOLVE,100,853.74,854.0,901.0,901.0,99.4089,0.07855,0.176475,0.42897,3412.95,3602.0,3602.0,0.06,1.0,1.0,0.0,0.0,1.0
10000,A_FULL_RAW_CONTEXT,100,1456776,1456776.0,1456776.0,1456776.0,0.0,1.25445,2.110615,3.382611,5827101,5827101.0,5827101.0,1.0,1.0,1.0,0.000275,0.225,0.0
10000,B_TOPK_RAW_CHUNKS,100,198.9,199.0,234.0,234.0,99.9863,0.08455,0.148825,0.219509,793.87,936.0,936.0,0.0,1.0,0.85,0.0,0.056,0.0
10000,C_SUMMARY_MEMORY,100,687.22,679.0,759.0,759.0,99.9528,0.119,0.22058,0.291435,2746.73,3033.0,3033.0,0.0,1.0,0.86,0.0,0.1215,0.0
10000,D_POINTER_METADATA_ONLY,100,1855.28,1850.0,1959.0,1959.0,99.8726,0.18865,0.407765,0.510227,7420.39,7835.0,7835.0,0.0,1.0,0.86,0.0,0.1215,1.0
10000,E_POINTER_ON_DEMAND_RESOLVE,100,861.17,861.0,908.0,908.0,99.9409,0.0893,0.19237,0.272898,3443.83,3632.0,3632.0,0.0,1.0,1.0,0.0,0.0,1.0
50000,A_FULL_RAW_CONTEXT,100,7306097,7306097.0,7306097.0,7306097.0,0.0,7.6001,9.668885,12.593112,29224385,29224385.0,29224385.0,1.0,1.0,1.0,5.5e-05,0.225,0.0
50000,B_TOPK_RAW_CHUNKS,100,200.18,200.0,236.0,236.0,99.9973,0.126,0.17458,0.23094,798.6,941.0,941.0,0.0,1.0,0.85,0.0,0.084,0.0
50000,C_SUMMARY_MEMORY,100,691.65,683.0,762.0,762.0,99.9905,0.1355,0.182265,0.318405,2765.44,3048.0,3048.0,0.0,1.0,0.86,0.0,0.106,0.0
50000,D_POINTER_METADATA_ONLY,100,1859.12,1854.0,1963.0,1963.0,99.9746,0.198,0.27196,0.345748,7435.34,7850.0,7850.0,0.0,1.0,0.86,0.0,0.106,1.0
50000,E_POINTER_ON_DEMAND_RESOLVE,100,863.75,864.0,911.0,911.0,99.9882,0.0944,0.12657,0.149692,3453.29,3642.0,3642.0,0.0,1.0,1.0,0.0,0.0,1.0
100000,A_FULL_RAW_CONTEXT,100,14692749,14692749.0,14692749.0,14692749.0,0.0,17.8454,22.397015,27.949807,58770993,58770993.0,58770993.0,1.0,1.0,1.0,2.8e-05,0.225,0.0
100000,B_TOPK_RAW_CHUNKS,100,201.33,202.0,237.0,237.0,99.9986,0.1275,0.181985,0.208256,804.03,946.0,946.0,0.0,1.0,0.85,0.0,0.114,0.0
100000,C_SUMMARY_MEMORY,100,692.51,684.0,764.0,764.0,99.9953,0.14145,0.222245,0.25874,2768.02,3053.0,3053.0,0.0,1.0,0.86,0.0,0.142,0.0
100000,D_POINTER_METADATA_ONLY,100,1870.99,1866.0,1975.0,1975.0,99.9873,0.2085,0.307005,0.429486,7481.67,7898.0,7898.0,0.0,1.0,0.86,0.0,0.142,1.0
100000,E_POINTER_ON_DEMAND_RESOLVE,100,869.04,869.0,916.0,916.0,99.9941,0.0981,0.161835,0.20809,3474.15,3662.0,3662.0,0.0,1.0,1.0,0.0,0.0,1.0
