n_memories,avg_text_chars,mode,edge_storage_bytes,bytes_per_memory,reduction_vs_full_pct,high_sensitive_count
1000,50,FULL_TEXT,312710,312.71,0.0,100
1000,50,VERBOSE_POINTER,190355,190.355,39.1273,100
1000,50,COMPACT_POINTER,99000,99.0,68.3413,100
1000,50,ULTRA_POINTER,40000,40.0,87.2086,100
10000,50,FULL_TEXT,3127142,312.7142,0.0,1000
10000,50,VERBOSE_POINTER,1903571,190.3571,39.1275,1000
10000,50,COMPACT_POINTER,990000,99.0,68.3417,1000
10000,50,ULTRA_POINTER,400000,40.0,87.2088,1000
50000,50,FULL_TEXT,15635716,312.7143,0.0,5000
50000,50,VERBOSE_POINTER,9517858,190.3572,39.1275,5000
50000,50,COMPACT_POINTER,4950000,99.0,68.3417,5000
50000,50,ULTRA_POINTER,2000000,40.0,87.2088,5000
100000,50,FULL_TEXT,31271432,312.7143,0.0,10000
100000,50,VERBOSE_POINTER,19035716,190.3572,39.1275,10000
100000,50,COMPACT_POINTER,9900000,99.0,68.3417,10000
100000,50,ULTRA_POINTER,4000000,40.0,87.2088,10000
1000,300,FULL_TEXT,562710,562.71,0.0,100
1000,300,VERBOSE_POINTER,190355,190.355,66.1717,100
1000,300,COMPACT_POINTER,99000,99.0,82.4066,100
1000,300,ULTRA_POINTER,40000,40.0,92.8915,100
10000,300,FULL_TEXT,5627142,562.7142,0.0,1000
10000,300,VERBOSE_POINTER,1903571,190.3571,66.1716,1000
10000,300,COMPACT_POINTER,990000,99.0,82.4067,1000
10000,300,ULTRA_POINTER,400000,40.0,92.8916,1000
50000,300,FULL_TEXT,28135716,562.7143,0.0,5000
50000,300,VERBOSE_POINTER,9517858,190.3572,66.1716,5000
50000,300,COMPACT_POINTER,4950000,99.0,82.4067,5000
50000,300,ULTRA_POINTER,2000000,40.0,92.8916,5000
100000,300,FULL_TEXT,56271432,562.7143,0.0,10000
100000,300,VERBOSE_POINTER,19035716,190.3572,66.1716,10000
100000,300,COMPACT_POINTER,9900000,99.0,82.4067,10000
100000,300,ULTRA_POINTER,4000000,40.0,92.8916,10000
1000,1000,FULL_TEXT,1262710,1262.71,0.0,100
1000,1000,VERBOSE_POINTER,190355,190.355,84.9249,100
1000,1000,COMPACT_POINTER,99000,99.0,92.1597,100
1000,1000,ULTRA_POINTER,40000,40.0,96.8322,100
10000,1000,FULL_TEXT,12627142,1262.7142,0.0,1000
10000,1000,VERBOSE_POINTER,1903571,190.3571,84.9248,1000
10000,1000,COMPACT_POINTER,990000,99.0,92.1597,1000
10000,1000,ULTRA_POINTER,400000,40.0,96.8322,1000
50000,1000,FULL_TEXT,63135716,1262.7143,0.0,5000
50000,1000,VERBOSE_POINTER,9517858,190.3572,84.9248,5000
50000,1000,COMPACT_POINTER,4950000,99.0,92.1597,5000
50000,1000,ULTRA_POINTER,2000000,40.0,96.8322,5000
100000,1000,FULL_TEXT,126271432,1262.7143,0.0,10000
100000,1000,VERBOSE_POINTER,19035716,190.3572,84.9248,10000
100000,1000,COMPACT_POINTER,9900000,99.0,92.1597,10000
100000,1000,ULTRA_POINTER,4000000,40.0,96.8322,10000
1000,3000,FULL_TEXT,3262710,3262.71,0.0,100
1000,3000,VERBOSE_POINTER,190355,190.355,94.1657,100
1000,3000,COMPACT_POINTER,99000,99.0,96.9657,100
1000,3000,ULTRA_POINTER,40000,40.0,98.774,100
10000,3000,FULL_TEXT,32627142,3262.7142,0.0,1000
10000,3000,VERBOSE_POINTER,1903571,190.3571,94.1657,1000
10000,3000,COMPACT_POINTER,990000,99.0,96.9657,1000
10000,3000,ULTRA_POINTER,400000,40.0,98.774,1000
50000,3000,FULL_TEXT,163135716,3262.7143,0.0,5000
50000,3000,VERBOSE_POINTER,9517858,190.3572,94.1657,5000
50000,3000,COMPACT_POINTER,4950000,99.0,96.9657,5000
50000,3000,ULTRA_POINTER,2000000,40.0,98.774,5000
100000,3000,FULL_TEXT,326271432,3262.7143,0.0,10000
100000,3000,VERBOSE_POINTER,19035716,190.3572,94.1657,10000
100000,3000,COMPACT_POINTER,9900000,99.0,96.9657,10000
100000,3000,ULTRA_POINTER,4000000,40.0,98.774,10000
