avg_text_chars,mode,reduction_mean_pct,reduction_std_pct,reduction_min_pct,reduction_max_pct,strict_scale_stability_pass
50,VERBOSE_POINTER,39.1274,8.7e-05,39.1273,39.1275,True
50,COMPACT_POINTER,68.3416,0.000173,68.3413,68.3417,True
50,ULTRA_POINTER,87.2087,8.7e-05,87.2086,87.2088,True
300,VERBOSE_POINTER,66.1716,4.3e-05,66.1716,66.1717,True
300,COMPACT_POINTER,82.4067,4.3e-05,82.4066,82.4067,True
300,ULTRA_POINTER,92.8916,4.3e-05,92.8915,92.8916,True
1000,VERBOSE_POINTER,84.9248,4.3e-05,84.9248,84.9249,True
1000,COMPACT_POINTER,92.1597,0.0,92.1597,92.1597,True
1000,ULTRA_POINTER,96.8322,0.0,96.8322,96.8322,True
3000,VERBOSE_POINTER,94.1657,0.0,94.1657,94.1657,True
3000,COMPACT_POINTER,96.9657,0.0,96.9657,96.9657,True
3000,ULTRA_POINTER,98.774,0.0,98.774,98.774,True
